Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price
Coburg,29 Kerferd St,3,h,SP,Nelson,18/11/2017,6.7,3058.0,3.0,1.0,2.0,391.0,122,1940.0,Darebin City Council,-37.7346,144.9546,Northern Metropolitan,11204.0,Indoor,970000.0
Craigieburn,6 Falmouth Ct,3,h,S,Barry,9/12/2017,20.6,3064.0,3.0,2.0,2.0,534.0,185,1990.0,Hume City Council,-37.61145,144.9311,Northern Metropolitan,15510.0,Detached Garage,610000.0
Glenroy,25 Hilda St,3,h,S,YPA,19/08/2017,11.2,3046.0,3.0,1.0,1.0,308.0,93,1950.0,Moreland City Council,-37.69879,144.93354,Northern Metropolitan,8870.0,Parking Pad,570000.0
Glen Iris,2/8 Lithgow St,2,u,S,Fletchers,29/04/2017,9.2,3146.0,2.0,1.0,1.0,157.0,97.0,1970.0,Boroondara City Council,-37.8499,145.0814,Southern Metropolitan,10412.0,Parkade,910000.0
Hoppers Crossing,10 Derrimut Rd,3,h,S,Greg,17/03/2018,18.4,3029.0,3.0,1.0,6.0,624.0,112,1980.0,Wyndham City Council,-37.89091,144.68096,Western Metropolitan,13830.0,Carport,482500.0
Craigieburn,36 Emerald Cct,3,h,PI,Barry,17/02/2018,20.6,3064.0,3.0,2.0,2.0,490.0,178,2004.0,Hume City Council,-37.58915,144.93968,Northern Metropolitan,15510.0,Parkade,525000.0
Bundoora,567 Grimshaw St,3,h,S,Barry,19/08/2017,12.1,3083.0,3.0,1.0,2.0,896.0,139,1965.0,Banyule City Council,-37.70042,145.0614,Northern Metropolitan,10175.0,Attached Garage,1234000.0
Delahey,11 Barley Ct,4,h,S,YPA,22/07/2017,18.0,3037.0,4.0,2.0,2.0,344.0,105.9,1995.0,Brimbank City Council,-37.719,144.76699,Western Metropolitan,2898.0,Outdoor Stall,505000.0
Forest Hill,5 Henders St,3,h,SP,Fletchers,9/12/2017,15.4,3131.0,3.0,2.0,1.0,608.0,155,1960.0,Whitehorse City Council,-37.83647,145.16176,Eastern Metropolitan,4385.0,Detached Garage,1200000.0
Bentleigh East,98 Brady Rd,4,h,S,RT,25/02/2017,13.9,3165.0,4.0,2.0,2.0,620.0,158,1980.0,Glen Eira City Council,-37.9281,145.0669,Southern Metropolitan,10969.0,Detached Garage,1175000.0
Glen Waverley,2 Cherry St,5,h,S,Ray,19/08/2017,16.7,3150.0,5.0,2.0,1.0,651.0,124,1970.0,Monash City Council,-37.8656,145.15034,Eastern Metropolitan,15321.0,Detached Garage,1285000.0
Coburg North,141 Elizabeth St,5,h,S,Jellis,28/10/2017,6.7,3058.0,5.0,3.0,2.0,460.0,253.0,2013.0,Darebin City Council,-37.73108,144.98351,Northern Metropolitan,3445.0,Attached Garage,1190000.0
Camberwell,30 Fairview Av,2,h,VB,Marshall,24/02/2018,7.7,3124.0,2.0,2.0,2.0,606.0,118,1930.0,Boroondara City Council,-37.84764,145.09273,Southern Metropolitan,8920.0,Carport,1550000.0
Preston,33 Gordon Gr,4,h,S,Ray,27/11/2016,8.8,3072.0,4.0,2.0,1.0,561.0,150,1950.0,Darebin City Council,-37.7369,145.0201,Northern Metropolitan,14577.0,Detached Garage,871000.0
Epping,15 Savannah Cr,3,h,S,HAR,24/02/2018,19.6,3076.0,3.0,1.0,2.0,536.0,126,1983.0,Whittlesea City Council,-37.64822,145.03767,Northern Metropolitan,10926.0,Attached Garage,530000.0
Hawthorn,1B Hepburn St,3,h,SP,Jellis,18/03/2017,4.6,3122.0,3.0,3.0,2.0,88.0,178,2011.0,Boroondara City Council,-37.824,145.0427,Southern Metropolitan,11308.0,Attached Garage,1780000.0
Greenvale,21 Elphinstone Bvd,6,h,S,Jason,6/1/2018,20.4,3059.0,6.0,2.0,6.0,4046.0,323,1983.0,Hume City Council,-37.64857,144.88562,Northern Metropolitan,4864.0,Parkade,1515000.0
South Yarra,6/1 Walsh St,2,u,PI,Williams,8/10/2016,3.3,3141.0,2.0,2.0,1.0,0.0,107,1980.0,Melbourne City Council,-37.8376,144.9847,Southern Metropolitan,14887.0,Outdoor Stall,1300000.0
Fawkner,53 Lynch Rd,3,h,PI,Stockdale,18/11/2017,13.1,3060.0,3.0,1.0,4.0,616.0,95,1960.0,Hume City Council,-37.7119,144.9707,Northern Metropolitan,5070.0,Underground,645000.0
Keilor Downs,11 Turfan Cl,4,h,PI,Barry,26/08/2017,15.5,3038.0,4.0,2.0,2.0,726.0,223,1980.0,Brimbank City Council,-37.72649,144.80992,Western Metropolitan,3656.0,Attached Garage,700000.0
Footscray,39 Warleigh Rd,3,t,S,Jas,27/06/2016,6.4,3011.0,3.0,2.0,2.0,112.0,168,2010.0,Maribyrnong City Council,-37.8001,144.8797,Western Metropolitan,7570.0,Attached Garage,735000.0
Patterson Lakes,3 Town La,4,h,PI,Buxton,17/03/2018,31.2,3197.0,4.0,2.0,2.0,460.0,236,2010.0,Kingston City Council,-38.06049,145.14094,South-Eastern Metropolitan,3351.0,Parkade,975000.0
Port Melbourne,143 Cruikshank St,4,h,S,Greg,14/10/2017,3.5,3207.0,3.0,3.0,1.0,421.0,194,2015.0,Melbourne City Council,-37.83706,144.9479,Southern Metropolitan,8648.0,Attached Garage,2926000.0
Lower Plenty,20 Lincoln Dr,3,h,S,Morrison,3/3/2018,14.6,3093.0,3.0,2.0,1.0,417.0,144,1973.0,Banyule City Council,-37.72775,145.12034,Eastern Metropolitan,1624.0,Carport,857500.0
Elwood,2 Docker St,3,h,S,McGrath,17/09/2016,7.7,3184.0,3.0,2.0,1.0,246.0,133,1950.0,Port Phillip City Council,-37.8861,144.9877,Southern Metropolitan,8989.0,Parkade,1625000.0
Ashburton,18 Glen Rd,3,h,S,Jellis,15/10/2016,11.0,3147.0,3.0,2.0,3.0,702.0,145,1945.0,Boroondara City Council,-37.8737,145.0695,Southern Metropolitan,3052.0,Parking Pad,1665000.0
Roxburgh Park,45 Stainsby Cr,3,h,S,Barry,9/12/2017,20.6,3064.0,3.0,2.0,2.0,505.0,164,1990.0,Hume City Council,-37.63797,144.92776,Northern Metropolitan,5833.0,Parkade,575000.0
Noble Park,26 Forster St,3,h,S,iSell,27/05/2017,22.7,3174.0,3.0,1.0,4.0,695.0,130,1963.0,Greater Dandenong City Council,-37.96015,145.16618,South-Eastern Metropolitan,11806.0,Indoor,730000.0
Highett,188 Wickham Rd,3,h,S,Obrien,28/10/2017,16.0,3190.0,3.0,2.0,1.0,635.0,109.0,1950.0,Bayside City Council,-37.94612,145.04873,Southern Metropolitan,4794.0,Attached Garage,1100000.0
Glenroy,25 Hilda St,3,h,VB,Stockdale,17/03/2018,11.2,3046.0,3.0,1.0,1.0,308.0,93,1950.0,Moreland City Council,-37.6988,144.93355,Northern Metropolitan,8870.0,Parkade,550000.0
South Yarra,24/384 Toorak Rd,1,u,S,hockingstuart,22/05/2016,3.3,3141.0,1.0,1.0,0.0,0.0,42,1950.0,Melbourne City Council,-37.8406,145.0035,Southern Metropolitan,14887.0,Carport,367000.0
Maribyrnong,50 Village Wy,3,t,SP,Raine,24/02/2018,4.3,3032.0,3.0,2.0,2.0,78.0,107,2002.0,Maribyrnong City Council,-37.77158,144.88116,Western Metropolitan,4918.0,Outdoor Stall,637500.0
Port Melbourne,130 Clark St,4,h,S,Marshall,29/04/2017,3.8,3207.0,4.0,3.0,2.0,317.0,156.0,1900.0,Melbourne City Council,-37.8346,144.9358,Southern Metropolitan,8648.0,Attached Garage,2700000.0
Richmond,247 Church St,3,h,PI,Jellis,4/6/2016,2.6,3121.0,3.0,1.0,1.0,199.0,105,1900.0,Yarra City Council,-37.8193,144.9993,Northern Metropolitan,14949.0,Indoor,1010000.0
Reservoir,2/116 Summerhill Rd,3,h,PI,Ray,11/2/2017,11.2,3073.0,3.0,2.0,2.0,215.0,146,2003.0,Darebin City Council,-37.7257,145.0243,Northern Metropolitan,21650.0,Parkade,540000.0
Ascot Vale,133 The Parade,2,h,S,Raine,11/11/2017,4.3,3032.0,2.0,2.0,2.0,320.0,117,1950.0,Moonee Valley City Council,-37.7722,144.909,Western Metropolitan,6567.0,Attached Garage,1365000.0
Caulfield North,75 Normanby Rd,4,h,PI,Marshall,12/8/2017,7.8,3161.0,4.0,2.0,2.0,494.0,176,1900.0,Glen Eira City Council,-37.87206,145.03512,Southern Metropolitan,6923.0,Indoor,1925000.0
Richmond,29 Westbank Tce,3,h,S,hockingstuart,22/08/2016,2.6,3121.0,2.0,2.0,1.0,203.0,112,1900.0,Yarra City Council,-37.8214,145.0132,Northern Metropolitan,14949.0,Indoor,1850000.0
Airport West,163 Halsey Rd,2,h,S,Prime,27/05/2017,10.4,3042.0,2.0,1.0,3.0,374.0,96,1950.0,Moonee Valley City Council,-37.71811,144.87693,Western Metropolitan,3464.0,Indoor,650000.0
Dingley Village,18 Albert Pl,3,t,S,Buxton,15/07/2017,22.2,3172.0,3.0,2.0,2.0,251.0,185,1998.0,Kingston City Council,-37.98146,145.11715,South-Eastern Metropolitan,3940.0,Carport,802000.0
Malvern East,15/5 Warley Rd,2,u,SP,hockingstuart,27/11/2016,11.2,3145.0,2.0,1.0,1.0,0.0,57,1997.0,Stonnington City Council,-37.8804,145.0501,Southern Metropolitan,8801.0,Detached Garage,425000.0
Gisborne,42 Kilmore Rd,3,h,S,Raine,12/8/2017,45.9,3437.0,3.0,2.0,4.0,1290.0,231,1988.0,Macedon Ranges Shire Council,-37.48381,144.60052,Northern Victoria,3376.0,Detached Garage,775000.0
Preston,14 West St,3,h,S,Barry,6/5/2017,8.8,3072.0,3.0,2.0,2.0,572.0,118,1935.0,Darebin City Council,-37.736,145.0033,Northern Metropolitan,14577.0,Attached Garage,1190000.0
Oakleigh,5 Grant St,5,h,PI,Ray,28/05/2016,14.0,3166.0,5.0,3.0,2.0,695.0,305,2015.0,Monash City Council,-37.8973,145.0979,Southern Metropolitan,3224.0,Parkade,1600000.0
Coburg,11/5 Industry La,2,u,VB,Nelson,16/04/2016,7.8,3058.0,2.0,2.0,1.0,0.0,96,1880.0,Darebin City Council,-37.7367,144.9701,Northern Metropolitan,11204.0,Indoor,485000.0
Greensborough,54 Warralong Av,3,h,S,Fletchers,15/07/2017,16.1,3088.0,3.0,2.0,1.0,653.0,130,1970.0,Banyule City Council,-37.71846,145.09689,Northern Metropolitan,8524.0,Attached Garage,896000.0
Brighton East,18 Centre Rd,4,t,SP,Buxton,1/7/2017,10.3,3187.0,4.0,3.0,2.0,345.0,239,2001.0,Bayside City Council,-37.91503,145.00888,Southern Metropolitan,6938.0,Indoor,1731000.0
Fitzroy North,44 Reid St,4,t,VB,Jellis,18/03/2017,3.5,3068.0,4.0,3.0,2.0,127.0,209,2008.0,Moreland City Council,-37.7855,144.9789,Northern Metropolitan,6244.0,Attached Garage,1700000.0
South Yarra,6 Cliff St,2,h,PI,Jellis,27/06/2016,3.3,3141.0,2.0,1.0,0.0,176.0,84,1940.0,Melbourne City Council,-37.8436,144.9925,Southern Metropolitan,14887.0,Carport,1200000.0
Coburg,1 Balloan St,6,h,S,Brad,29/04/2017,7.8,3058.0,6.0,3.0,4.0,768.0,285.0,1997.0,Darebin City Council,-37.7397,144.9603,Northern Metropolitan,11204.0,Detached Garage,1455000.0
Glen Waverley,5 Jordan Gr,4,h,S,Barry,28/10/2017,16.7,3150.0,4.0,1.0,1.0,708.0,160.0,1955.0,Monash City Council,-37.88638,145.16745,Eastern Metropolitan,15321.0,Indoor,1500000.0
Coburg,1/21 Queen St,2,h,SP,Jellis,8/4/2017,7.8,3058.0,2.0,1.0,2.0,0.0,64,1980.0,Darebin City Council,-37.7519,144.9496,Northern Metropolitan,11204.0,Indoor,677776.0
Kensington,13 Youlden St,3,h,S,Greg,8/10/2016,4.2,3031.0,3.0,1.0,1.0,211.0,95,1992.0,Melbourne City Council,-37.7891,144.926,Northern Metropolitan,5263.0,Detached Garage,870000.0
Albion,2/36 Selwyn St,3,u,SA,Douglas,27/05/2017,10.5,3020.0,3.0,2.0,2.0,247.0,127,2013.0,Brimbank City Council,-37.77976,144.81559,Western Metropolitan,2185.0,Indoor,600000.0
Sunshine North,49 Metherall St,5,h,S,Barry,10/12/2016,13.3,3020.0,5.0,2.0,2.0,661.0,133,1960.0,Brimbank City Council,-37.7651,144.8241,Western Metropolitan,4217.0,Parkade,605000.0
Hadfield,27 West St,3,h,S,Nelson,6/1/2018,11.2,3046.0,3.0,2.0,2.0,543.0,130,1970.0,Moreland City Council,-37.71329,144.93702,Northern Metropolitan,2606.0,Attached Garage,772500.0
Yarraville,13 Benbow St,3,h,S,Jas,3/9/2016,7.0,3013.0,3.0,2.0,1.0,448.0,147,1940.0,Maribyrnong City Council,-37.8228,144.8799,Western Metropolitan,6543.0,Detached Garage,1000000.0
Mulgrave,5 Grainger Ct,3,h,S,Harcourts,29/07/2017,18.8,3170.0,3.0,1.0,2.0,727.0,168.0,1970.0,Monash City Council,-37.9128,145.16152,South-Eastern Metropolitan,7113.0,Carport,1001000.0
Balwyn North,9 Tannock St,5,h,S,Purplebricks,28/10/2017,9.7,3104.0,5.0,2.0,4.0,643.0,248,1955.0,Boroondara City Council,-37.79064,145.09463,Southern Metropolitan,7809.0,Outdoor Stall,1730000.0
Fawkner,4 Bonwick St,3,h,SP,hockingstuart,6/1/2018,13.1,3060.0,3.0,1.0,2.0,581.0,148,1960.0,Hume City Council,-37.70641,144.96502,Northern Metropolitan,5070.0,Carport,767500.0
Glen Iris,1/6 Edgar St,1,u,PI,hockingstuart,12/11/2016,9.2,3146.0,1.0,1.0,1.0,1097.0,38,1982.0,Boroondara City Council,-37.8576,145.0452,Southern Metropolitan,10412.0,Indoor,291000.0
Yarraville,1/27 Stephen St,2,u,SP,Jas,27/05/2017,6.3,3013.0,2.0,1.0,1.0,80.0,80,1970.0,Maribyrnong City Council,-37.81133,144.89553,Western Metropolitan,6543.0,Carport,709500.0
Camberwell,7/5 Holly St,2,u,PI,O'Donoghues,12/11/2016,7.8,3124.0,2.0,1.0,1.0,0.0,77,1965.0,Boroondara City Council,-37.8255,145.0592,Southern Metropolitan,8920.0,Parking Pad,502000.0
Pascoe Vale,27 Quick St,4,h,S,Brad,3/12/2016,9.9,3044.0,4.0,1.0,1.0,733.0,159,1960.0,Moreland City Council,-37.7194,144.9307,Northern Metropolitan,7485.0,Indoor,975000.0
Malvern,3 Mary St,4,h,PI,Marshall,22/08/2016,7.4,3144.0,4.0,4.0,2.0,716.0,159,1925.0,Stonnington City Council,-37.8469,145.0377,Southern Metropolitan,4675.0,Attached Garage,4525000.0
Epping,19 Lotus Ct,4,h,PI,hockingstuart,29/07/2017,19.6,3076.0,4.0,2.0,2.0,571.0,200.0,1997.0,Whittlesea City Council,-37.63762,145.03539,Northern Metropolitan,10926.0,Carport,658000.0
Melbourne,806/22 Coromandel Pl,2,u,S,Galldon,15/07/2017,0.0,3000.0,2.0,1.0,0.0,0.0,47,2011.0,Melbourne City Council,-37.81301,144.96924,Northern Metropolitan,17496.0,Detached Garage,387000.0
Point Cook,19 Beveridge Ct,3,h,S,LJ,3/2/2018,14.7,3030.0,3.0,1.0,1.0,527.0,87,2001.0,Wyndham City Council,-37.89322,144.74984,Western Metropolitan,15542.0,Carport,587500.0
Essendon,3/48 Deakin St,3,u,S,Nelson,22/04/2017,8.0,3040.0,3.0,1.0,1.0,227.0,120,2005.0,Moonee Valley City Council,-37.7496,144.892,Western Metropolitan,9264.0,Parkade,700000.0
Craigieburn,13 Brampton Cl,3,h,S,RE,1/7/2017,20.6,3064.0,3.0,1.0,4.0,651.0,117,1990.0,Hume City Council,-37.60329,144.93948,Northern Metropolitan,15510.0,Attached Garage,515500.0
Bentleigh,1 Wyuna Ct,3,h,VB,Woodards,17/03/2018,11.4,3204.0,3.0,1.0,4.0,635.0,242,2019.0,Glen Eira City Council,-37.92963,145.03666,Southern Metropolitan,6795.0,Attached Garage,1100000.0
Chelsea,33 Baxter Av,3,h,S,Ray,16/09/2017,27.0,3196.0,3.0,1.0,3.0,534.0,127,1970.0,Kingston City Council,-38.04666,145.12354,South-Eastern Metropolitan,3906.0,Detached Garage,875000.0
Ivanhoe,19 Myrtle St,4,h,VB,Miles,15/10/2016,7.9,3079.0,4.0,2.0,1.0,694.0,217,1950.0,Banyule City Council,-37.7565,145.0506,Eastern Metropolitan,5549.0,Parkade,1470000.0
Ashwood,47 Ashwood Dr,4,h,S,Jellis,17/06/2017,10.2,3147.0,4.0,3.0,3.0,726.0,194,1958.0,Monash City Council,-37.85842,145.10288,Southern Metropolitan,2894.0,Parkade,1680000.0
Hawthorn,15/9 Lisson Gr,2,u,S,Jellis,8/4/2017,4.6,3122.0,2.0,1.0,1.0,2679.0,78,1960.0,Boroondara City Council,-37.8261,145.0269,Southern Metropolitan,11308.0,Indoor,635000.0
Port Melbourne,409/216 Rouse St,2,u,SP,Cayzer,3/6/2017,3.5,3207.0,2.0,2.0,1.0,1472.0,81,2010.0,Melbourne City Council,-37.84096,144.93791,Southern Metropolitan,8648.0,Parkade,665000.0
Mount Waverley,2 Merton Cl,3,h,S,Ray,1/7/2017,14.2,3149.0,3.0,1.0,2.0,807.0,167,1970.0,Monash City Council,-37.86618,145.14757,Eastern Metropolitan,13366.0,Attached Garage,1385000.0
Burwood,7 Carmody St,3,t,S,Bekdon,17/06/2017,10.4,3125.0,3.0,2.0,1.0,207.0,144,2012.0,Monash City Council,-37.85682,145.10873,Southern Metropolitan,5678.0,Detached Garage,918000.0
Brunswick West,53 Heller St,4,h,VB,Nelson,28/05/2016,5.9,3055.0,4.0,1.0,2.0,519.0,169,1910.0,Moreland City Council,-37.7747,144.9474,Northern Metropolitan,7082.0,Outdoor Stall,1150000.0
Fairfield,7 Rathmines St,3,h,PI,McGrath,3/12/2016,5.8,3078.0,3.0,1.0,2.0,309.0,110,2000.0,Darebin City Council,-37.7828,145.0154,Northern Metropolitan,2970.0,Carport,1350000.0
Altona,35 Lowe Av,4,h,SP,Barlow,15/07/2017,11.0,3018.0,4.0,2.0,2.0,629.0,180,1985.0,Hobsons Bay City Council,-37.86027,144.82073,Western Metropolitan,5301.0,Parkade,935000.0
Northcote,39 Barry St,3,h,PI,Collins,4/6/2016,5.5,3070.0,3.0,1.0,1.0,247.0,160,1890.0,Darebin City Council,-37.7798,144.9952,Northern Metropolitan,11364.0,Carport,1710000.0
Camberwell,643 Riversdale Rd,5,h,SP,Marshall,18/11/2017,7.7,3124.0,5.0,2.0,3.0,572.0,215,1918.0,Boroondara City Council,-37.8326,145.0685,Southern Metropolitan,8920.0,Indoor,2230000.0
Fitzroy North,5/118 Miller St,2,h,PI,Nelson,28/08/2016,3.5,3068.0,2.0,1.0,1.0,0.0,75,1980.0,Moreland City Council,-37.777,144.9838,Northern Metropolitan,6244.0,Indoor,650000.0
Reservoir,2/152 St Vigeons Rd,2,u,S,Ray,19/11/2016,11.2,3073.0,2.0,2.0,1.0,145.0,145,2010.0,Darebin City Council,-37.7053,145.0173,Northern Metropolitan,21650.0,Underground,480000.0
Hawthorn,23 Edgerton St,4,h,S,Kay,17/09/2016,4.6,3122.0,4.0,2.0,1.0,218.0,173,1890.0,Boroondara City Council,-37.8142,145.0252,Southern Metropolitan,11308.0,Parkade,1936000.0
Reservoir,3/94 Purinuan Rd,2,u,S,Stockdale,14/05/2016,11.2,3073.0,2.0,1.0,1.0,132.0,65,2010.0,Darebin City Council,-37.708,145.0223,Northern Metropolitan,21650.0,Indoor,360000.0
Chadstone,1 Tandara Ct,4,h,PI,McGrath,18/11/2017,11.7,3148.0,4.0,1.0,1.0,737.0,101,1960.0,Monash City Council,-37.8744,145.0995,Southern Metropolitan,3582.0,Detached Garage,1150000.0
Hampton East,3 Nepean Av,3,h,PI,Buxton,9/12/2017,13.8,3188.0,3.0,2.0,2.0,333.0,188,2016.0,Bayside City Council,-37.93582,145.02845,Southern Metropolitan,2356.0,Detached Garage,1175000.0
Rosanna,51 Davies St,3,h,S,Fletchers,17/09/2016,11.4,3084.0,3.0,2.0,1.0,323.0,142,2015.0,Banyule City Council,-37.7359,145.0614,Eastern Metropolitan,3540.0,Attached Garage,1012000.0
Watsonia North,2/32 Sellars St,3,h,SP,Barry,3/6/2017,14.5,3087.0,3.0,2.0,1.0,253.0,116,2005.0,Banyule City Council,-37.7004,145.09033,Northern Metropolitan,1442.0,Detached Garage,655000.0
Carnegie,5/102 Oakleigh Rd,2,u,S,Anderson,27/06/2016,11.4,3163.0,2.0,1.0,1.0,0.0,72,1970.0,Glen Eira City Council,-37.8999,145.0575,Southern Metropolitan,7822.0,Indoor,450000.0
Murrumbeena,6 Gerald St,4,h,S,Buxton,8/7/2017,10.1,3163.0,4.0,2.0,1.0,632.0,265,1915.0,Glen Eira City Council,-37.89465,145.06984,Southern Metropolitan,4442.0,Parking Pad,1820000.0
South Yarra,8/3 Barnsbury Rd,2,u,S,LITTLE,30/07/2016,3.3,3141.0,2.0,1.0,1.0,0.0,72.0,1969.0,Melbourne City Council,-37.8453,145.0012,Southern Metropolitan,14887.0,Indoor,505000.0
Williamstown North,5 Nicosia Ct,3,h,PI,Williams,8/4/2017,8.9,3016.0,3.0,2.0,5.0,442.0,249,2003.0,Hobsons Bay City Council,-37.8538,144.8722,Western Metropolitan,802.0,Carport,1070000.0
Hughesdale,1/13 Swindon Rd,2,u,S,Ray,3/9/2016,13.0,3166.0,2.0,1.0,1.0,0.0,76,1970.0,Monash City Council,-37.8967,145.0858,Southern Metropolitan,3145.0,Carport,516000.0
Newport,104 Champion Rd,2,h,SP,Williams,7/10/2017,6.2,3015.0,2.0,1.0,1.0,379.0,79,1950.0,Hobsons Bay City Council,-37.84836,144.87408,Western Metropolitan,5498.0,Indoor,736500.0
Bentleigh,4 Paschal St,4,h,S,Buxton,21/10/2017,11.4,3204.0,4.0,2.0,2.0,363.0,250,2017.0,Glen Eira City Council,-37.92967,145.04474,Southern Metropolitan,6795.0,Indoor,1560000.0
Werribee,81 Parramatta Rd,3,h,S,Reliance,16/09/2017,14.7,3030.0,3.0,1.0,2.0,640.0,125,1985.0,Wyndham City Council,-37.88537,144.65337,Western Metropolitan,16166.0,Outdoor Stall,470000.0
Coburg,37 Elizabeth St,3,h,S,Nelson,3/12/2016,7.8,3058.0,3.0,1.0,0.0,702.0,108,1950.0,Darebin City Council,-37.7391,144.9812,Northern Metropolitan,11204.0,Indoor,680000.0
Yarraville,52 Severn St,3,h,SP,Jas,18/06/2016,7.0,3013.0,3.0,1.0,1.0,189.0,87,1930.0,Maribyrnong City Council,-37.8159,144.8795,Western Metropolitan,6543.0,Detached Garage,865000.0
Malvern East,5 Anfield Ct,4,h,S,Marshall,4/6/2016,11.2,3145.0,3.0,2.0,2.0,797.0,180,1950.0,Stonnington City Council,-37.8783,145.0869,Southern Metropolitan,8801.0,Carport,1185000.0
Mentone,11/19 Brindisi St,2,u,S,Chisholm,8/7/2017,20.0,3194.0,2.0,1.0,1.0,128.0,72,1972.0,Kingston City Council,-37.98346,145.06313,South-Eastern Metropolitan,6162.0,Carport,640000.0
Surrey Hills,3 Arthur St,4,h,S,Marshall,23/09/2017,10.2,3127.0,4.0,3.0,2.0,416.0,256,2014.0,Boroondara City Council,-37.82671,145.11068,Southern Metropolitan,5457.0,Parkade,1910000.0
Werribee,31 Hooker Rd,3,h,S,hockingstuart,19/08/2017,14.7,3030.0,3.0,1.0,1.0,299.0,112,2005.0,Wyndham City Council,-37.89513,144.64056,Western Metropolitan,16166.0,Carport,412700.0
Hawthorn,10 Through St,3,h,VB,Jellis,12/8/2017,5.3,3122.0,3.0,1.0,1.0,333.0,108,1930.0,Boroondara City Council,-37.82737,145.02971,Southern Metropolitan,11308.0,Attached Garage,1425000.0
Seaford,43 Molesworth St,4,h,VB,Harcourts,8/7/2017,35.4,3198.0,4.0,2.0,0.0,1151.0,207,1969.0,Frankston City Council,-38.11336,145.15035,South-Eastern Metropolitan,8077.0,Underground,800000.0
Broadmeadows,319 Camp Rd,3,h,S,RW,7/10/2017,14.0,3047.0,3.0,1.0,3.0,690.0,84,1960.0,Hume City Council,-37.68671,144.93028,Northern Metropolitan,4294.0,Indoor,642500.0
Meadow Heights,3 Melaleuca Dr,3,h,S,YPA,17/02/2018,17.4,3048.0,3.0,1.0,2.0,578.0,102,1990.0,Hume City Council,-37.64705,144.91541,Northern Metropolitan,4704.0,Attached Garage,525000.0
Malvern East,2b Brunel St,3,h,S,hockingstuart,22/08/2016,11.2,3145.0,3.0,2.0,2.0,234.0,201,1998.0,Stonnington City Council,-37.8695,145.05,Southern Metropolitan,8801.0,Attached Garage,1680000.0
Port Melbourne,3/1 Seisman Pl,2,u,S,Chisholm,27/11/2016,3.8,3207.0,2.0,1.0,1.0,0.0,100,2000.0,Melbourne City Council,-37.8424,144.9449,Southern Metropolitan,8648.0,Indoor,735000.0
Hughesdale,19 Canterbury St,3,h,S,Woodards,8/10/2016,13.0,3166.0,3.0,1.0,1.0,562.0,97,1930.0,Monash City Council,-37.9022,145.0811,Southern Metropolitan,3145.0,Detached Garage,1055000.0
Templestowe Lower,65 Lowan Av,3,h,S,Barry,3/3/2018,12.4,3107.0,3.0,2.0,2.0,655.0,160,1970.0,Manningham City Council,-37.75748,145.09691,Eastern Metropolitan,5420.0,Indoor,1155000.0
Keilor East,26 Norwood Dr,3,h,S,Nelson,28/05/2016,12.8,3033.0,3.0,1.0,2.0,616.0,201,1970.0,Brimbank City Council,-37.7449,144.8533,Western Metropolitan,5629.0,Detached Garage,705000.0
Craigieburn,6 Vision Rd,3,h,S,LJ,1/7/2017,20.6,3064.0,3.0,2.0,3.0,618.0,225.5,2014.0,Hume City Council,-37.59715,144.89656,Northern Metropolitan,15510.0,Parkade,660000.0
Carnegie,5/9 Cosy Gum Rd,2,u,S,Thomson,22/07/2017,10.1,3163.0,2.0,1.0,2.0,0.0,86,1975.0,Glen Eira City Council,-37.88415,145.0514,Southern Metropolitan,7822.0,Underground,796000.0
Donvale,41 Garden Rd,4,h,S,Philip,21/10/2017,16.1,3111.0,4.0,3.0,2.0,3999.0,278,1970.0,Manningham City Council,-37.78856,145.18852,Eastern Metropolitan,4790.0,Indoor,2660000.0
Caulfield,30 Pyne St,4,h,PI,Rodney,25/02/2017,8.9,3162.0,4.0,1.0,2.0,499.0,155,1920.0,Glen Eira City Council,-37.8864,145.0242,Southern Metropolitan,2379.0,Indoor,131000.0
Gowanbrae,8 Perth Ct,4,h,SP,Nelson,27/06/2016,13.6,3043.0,4.0,2.0,2.0,453.0,213,2007.0,Moreland City Council,-37.7016,144.8974,Western Metropolitan,1071.0,Parkade,740000.0
Lalor,5 Rosemary Dr,3,h,S,Love,24/02/2018,16.3,3075.0,3.0,1.0,2.0,602.0,140,1970.0,Whittlesea City Council,-37.66044,145.00534,Northern Metropolitan,8279.0,Underground,660500.0
Fitzroy,17 Bell St,4,h,S,Nelson,27/11/2016,1.6,3065.0,4.0,3.0,2.0,286.0,275,1890.0,Yarra City Council,-37.7999,144.9755,Northern Metropolitan,5825.0,Parkade,4011000.0
Spotswood,64 Craig St,2,h,S,McGrath,8/7/2017,6.2,3015.0,2.0,1.0,1.0,174.0,100.6,1900.0,Hobsons Bay City Council,-37.83162,144.88742,Western Metropolitan,1223.0,Attached Garage,802000.0
Springvale,24 Garnsworthy St,3,h,S,iSell,1/7/2017,20.8,3171.0,3.0,1.0,2.0,623.0,99,1950.0,Greater Dandenong City Council,-37.94106,145.16193,South-Eastern Metropolitan,7412.0,Attached Garage,752500.0
