Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longitude,Regionname,Propertycount,ParkingArea,Price
Ashburton,47 Yuile St,4,h,VB,Marshall,12/11/2016,11.0,3147.0,4.0,2.0,2.0,780.0,180,1938.0,Boroondara City Council,-37.86,145.0817,Southern Metropolitan,3052.0,Indoor,1550000.0
Balwyn,2/8 Evelina St,4,t,PI,Noel,12/11/2016,9.7,3103.0,4.0,3.0,2.0,241.0,240,2009.0,Boroondara City Council,-37.8042,145.1042,Southern Metropolitan,5682.0,Indoor,1400000.0
Balwyn,5 Millah Rd,4,h,S,Fletchers,12/11/2016,9.7,3103.0,4.0,2.0,4.0,935.0,241,1927.0,Boroondara City Council,-37.8157,145.0795,Southern Metropolitan,5682.0,Detached Garage,3270000.0
Bentleigh,2/7 Gordon St,2,u,S,hockingstuart,12/11/2016,13.0,3204.0,2.0,2.0,3.0,226.0,475,2005.0,Glen Eira City Council,-37.9274,145.031,Southern Metropolitan,6795.0,Carport,855000.0
Bentleigh,11 Wheatley Rd,4,h,PI,McGrath,12/11/2016,13.0,3204.0,4.0,2.0,3.0,855.0,197,1930.0,Glen Eira City Council,-37.9163,145.0324,Southern Metropolitan,6795.0,Underground,1860000.0
Bentleigh East,2/41 Elizabeth St,3,t,VB,Buxton,12/11/2016,13.9,3165.0,3.0,2.0,1.0,254.0,117,1995.0,Glen Eira City Council,-37.9227,145.0558,Southern Metropolitan,10969.0,Attached Garage,860000.0
Bentleigh East,1/112 Tambet St,2,h,S,Woodards,12/11/2016,13.9,3165.0,2.0,1.0,1.0,300.0,135,1960.0,Glen Eira City Council,-37.9099,145.0726,Southern Metropolitan,10969.0,Parkade,742500.0
Box Hill,15 Davey St,3,h,S,Ray,12/11/2016,13.1,3128.0,3.0,1.0,2.0,384.0,108,1950.0,Whitehorse City Council,-37.8167,145.1373,Eastern Metropolitan,4605.0,Parkade,948000.0
Brighton,1/16 Black St,2,u,S,Buxton,12/11/2016,11.2,3186.0,2.0,1.0,2.0,0.0,85,1935.0,Bayside City Council,-37.9131,144.995,Southern Metropolitan,10579.0,Attached Garage,1100000.0
Brighton,5 Bridge St,3,h,S,Hodges,12/11/2016,11.2,3186.0,3.0,2.0,1.0,354.0,143,1910.0,Bayside City Council,-37.8916,145.0017,Southern Metropolitan,10579.0,Indoor,1650000.0
Brighton,28 Loller St,2,h,S,Buxton,12/11/2016,11.2,3186.0,2.0,1.0,0.0,352.0,111,1920.0,Bayside City Council,-37.9154,145.001,Southern Metropolitan,10579.0,Attached Garage,1570000.0
Brighton East,1 Alexander St,3,h,SP,Buxton,12/11/2016,10.7,3187.0,3.0,2.0,2.0,401.0,121,1926.0,Bayside City Council,-37.9062,145.0173,Southern Metropolitan,6938.0,Attached Garage,1301000.0
Brunswick,1/32 Donald St,2,u,SP,Jellis,12/11/2016,5.2,3056.0,2.0,1.0,1.0,114.0,65,1970.0,Moreland City Council,-37.758,144.9667,Northern Metropolitan,11918.0,Indoor,587000.0
Brunswick,98 Evans St,3,h,S,Nelson,12/11/2016,5.2,3056.0,3.0,1.0,0.0,257.0,121,1935.0,Moreland City Council,-37.7704,144.9695,Northern Metropolitan,11918.0,Parkade,1060000.0
Brunswick,246 Victoria St,2,h,S,Jellis,12/11/2016,5.2,3056.0,2.0,1.0,1.0,199.0,93,1900.0,Moreland City Council,-37.7676,144.9659,Northern Metropolitan,11918.0,Attached Garage,890000.0
Brunswick West,121 Pearson St,3,h,PI,Jellis,12/11/2016,5.9,3055.0,3.0,1.0,2.0,364.0,135,1900.0,Moreland City Council,-37.7618,144.9497,Northern Metropolitan,7082.0,Indoor,1300000.0
Brunswick West,81 Whitby St,3,h,S,Nelson,12/11/2016,5.9,3055.0,3.0,1.0,2.0,353.0,101,1930.0,Moreland City Council,-37.764,144.9428,Northern Metropolitan,7082.0,Parkade,1330000.0
Bulleen,14 Kandanga Gr,3,h,S,Jellis,12/11/2016,11.8,3105.0,3.0,1.0,1.0,604.0,96,1960.0,Manningham City Council,-37.7711,145.0928,Eastern Metropolitan,4480.0,Outdoor Stall,1075000.0
Burwood,33 Brockhoff Dr,4,h,S,Buxton,12/11/2016,11.7,3125.0,4.0,2.0,2.0,438.0,210,2005.0,Monash City Council,-37.8599,145.1101,Southern Metropolitan,5678.0,Detached Garage,1255000.0
Camberwell,13 Grace St,3,h,SP,Noel,12/11/2016,7.8,3124.0,3.0,1.0,1.0,544.0,160,1930.0,Boroondara City Council,-37.8436,145.0581,Southern Metropolitan,8920.0,Outdoor Stall,1622000.0
Camberwell,3/220 Warrigal Rd,2,u,SP,LITTLE,12/11/2016,7.8,3124.0,2.0,1.0,1.0,896.0,77,1960.0,Boroondara City Council,-37.8479,145.0958,Southern Metropolitan,8920.0,Attached Garage,435000.0
Canterbury,4/34 Rochester Rd,2,u,S,Jellis,12/11/2016,9.0,3126.0,2.0,1.0,1.0,0.0,92,1965.0,Boroondara City Council,-37.8205,145.0828,Southern Metropolitan,3265.0,Indoor,722000.0
Carlton North,392 Station St,2,h,S,Kelly,12/11/2016,3.2,3054.0,1.0,2.0,0.0,413.0,172,1900.0,Melbourne City Council,-37.7875,144.9759,Northern Metropolitan,3106.0,Parkade,2400000.0
Carnegie,90 Truganini Rd,4,h,VB,hockingstuart,12/11/2016,11.4,3163.0,4.0,2.0,2.0,757.0,133,1930.0,Glen Eira City Council,-37.8925,145.0541,Southern Metropolitan,7822.0,Detached Garage,1550000.0
Caulfield South,7A Alfada St,2,h,S,Biggin,12/11/2016,9.3,3162.0,2.0,1.0,2.0,284.0,99,1940.0,Glen Eira City Council,-37.8958,145.0215,Southern Metropolitan,5051.0,Indoor,1225000.0
Coburg North,1 McDonnell Rd,2,h,SP,Nelson,12/11/2016,9.2,3058.0,2.0,1.0,4.0,629.0,120,1960.0,Darebin City Council,-37.7276,144.9688,Northern Metropolitan,3445.0,Carport,820000.0
Coburg North,5 Rollo St,3,h,S,Nelson,12/11/2016,9.2,3058.0,3.0,1.0,2.0,307.0,96,1950.0,Darebin City Council,-37.7215,144.9533,Northern Metropolitan,3445.0,Detached Garage,780000.0
Collingwood,382 Wellington St,2,h,S,Jellis,12/11/2016,1.6,3066.0,2.0,1.0,0.0,130.0,80,1890.0,Yarra City Council,-37.7953,144.9882,Northern Metropolitan,4553.0,Attached Garage,855000.0
Eaglemont,27 Glen Dr,3,h,S,Nelson,12/11/2016,10.3,3084.0,3.0,1.0,2.0,846.0,180,1955.0,Banyule City Council,-37.7666,145.0591,Eastern Metropolitan,1651.0,Carport,1816000.0
Elsternwick,2/21 Gisborne St,2,h,SP,Chisholm,12/11/2016,8.5,3185.0,2.0,2.0,2.0,155.0,137,2011.0,Glen Eira City Council,-37.8887,145.0046,Southern Metropolitan,4898.0,Attached Garage,1160000.0
Elwood,22/29 Dickens St,3,u,S,Chisholm,12/11/2016,7.7,3184.0,3.0,1.0,1.0,0.0,100,1960.0,Port Phillip City Council,-37.8726,144.9846,Southern Metropolitan,8989.0,Underground,780000.0
Essendon,74 Forrester St,4,h,S,Brad,12/11/2016,8.0,3040.0,4.0,2.0,2.0,503.0,160,2008.0,Moonee Valley City Council,-37.7513,144.8925,Western Metropolitan,9264.0,Indoor,1275000.0
Essendon,4/6 Riverview Rd,2,u,S,McDonald,12/11/2016,8.0,3040.0,2.0,1.0,2.0,0.0,93,1972.0,Moonee Valley City Council,-37.7598,144.9128,Western Metropolitan,9264.0,Detached Garage,606000.0
Essendon,18 Vanberg Rd,3,h,S,McDonald,12/11/2016,8.0,3040.0,3.0,2.0,1.0,619.0,137,1930.0,Moonee Valley City Council,-37.7543,144.9318,Western Metropolitan,9264.0,Attached Garage,1385000.0
Fitzroy,291 George St,2,h,PI,Nelson,12/11/2016,1.6,3065.0,2.0,1.0,0.0,0.0,105,1890.0,Yarra City Council,-37.8006,144.9814,Northern Metropolitan,5825.0,Indoor,1460000.0
Glen Iris,56 Brandon St,3,h,S,Jellis,12/11/2016,9.2,3146.0,3.0,1.0,3.0,650.0,136,1930.0,Boroondara City Council,-37.8571,145.0766,Southern Metropolitan,10412.0,Detached Garage,1820000.0
Glenroy,9/11 Currajong St,2,u,SP,Barry,12/11/2016,13.0,3046.0,2.0,1.0,1.0,0.0,61,1970.0,Moreland City Council,-37.711,144.9178,Northern Metropolitan,8870.0,Detached Garage,250000.0
Glenroy,1/1 Danae St,3,t,S,Eview,12/11/2016,13.0,3046.0,3.0,1.0,1.0,325.0,106,1970.0,Moreland City Council,-37.7001,144.9291,Northern Metropolitan,8870.0,Attached Garage,460000.0
Glenroy,24 Sadie St,3,h,S,Eview,12/11/2016,13.0,3046.0,3.0,1.0,2.0,780.0,120,1960.0,Moreland City Council,-37.7,144.9427,Northern Metropolitan,8870.0,Carport,793000.0
Glenroy,7/89 Station Rd,2,u,S,Nelson,12/11/2016,13.0,3046.0,2.0,1.0,1.0,0.0,74,1970.0,Moreland City Council,-37.7071,144.9176,Northern Metropolitan,8870.0,Detached Garage,340000.0
Gowanbrae,2 Mirrim Pl,4,h,S,Nelson,12/11/2016,13.6,3043.0,4.0,2.0,2.0,0.0,264,2005.0,Moreland City Council,-37.705,144.9004,Western Metropolitan,1071.0,Indoor,802500.0
Hadfield,40 Angus St,3,h,S,Barry,12/11/2016,12.1,3046.0,3.0,1.0,1.0,568.0,115,1960.0,Moreland City Council,-37.7077,144.9438,Northern Metropolitan,2606.0,Parkade,740000.0
Hadfield,9 South St,3,h,S,YPA,12/11/2016,12.1,3046.0,3.0,1.0,2.0,574.0,106,1970.0,Moreland City Council,-37.7157,144.9507,Northern Metropolitan,2606.0,Carport,646000.0
Hampton,65 Linacre Rd,5,h,SP,Marshall,12/11/2016,13.7,3188.0,5.0,3.0,4.0,670.0,413,2008.0,Bayside City Council,-37.9427,145.0085,Southern Metropolitan,5454.0,Carport,3470000.0
Hawthorn,5/67 Auburn Rd,1,u,VB,Noel,12/11/2016,4.6,3122.0,1.0,1.0,1.0,0.0,51,1960.0,Boroondara City Council,-37.8208,145.0456,Southern Metropolitan,11308.0,Parkade,350000.0
Hawthorn,16 Pine St,3,h,S,Marshall,12/11/2016,4.6,3122.0,3.0,1.0,1.0,342.0,130,1900.0,Boroondara City Council,-37.814,145.0212,Southern Metropolitan,11308.0,Carport,1712000.0
Heidelberg Heights,33 Shakespeare Gr,2,h,S,Fletchers,12/11/2016,10.5,3081.0,2.0,1.0,1.0,605.0,78,1950.0,Banyule City Council,-37.7365,145.0545,Eastern Metropolitan,2947.0,Underground,680000.0
Heidelberg West,35 Carbeena Pde,2,h,S,Barry,12/11/2016,9.4,3081.0,2.0,1.0,1.0,331.0,111,1960.0,Banyule City Council,-37.7441,145.0379,Eastern Metropolitan,2674.0,Carport,515500.0
Heidelberg West,186 Oriel Rd,3,h,S,Haughton,12/11/2016,9.4,3081.0,3.0,1.0,3.0,633.0,88,1950.0,Banyule City Council,-37.746,145.0422,Eastern Metropolitan,2674.0,Detached Garage,800000.0
Hughesdale,14 Bowmore St,4,h,S,Ray,12/11/2016,13.0,3166.0,4.0,2.0,2.0,545.0,180,1940.0,Monash City Council,-37.9002,145.0773,Southern Metropolitan,3145.0,Indoor,1700000.0
Hughesdale,105/175 Kangaroo Rd,2,u,VB,Woodards,12/11/2016,13.0,3166.0,2.0,1.0,1.0,0.0,70,2010.0,Monash City Council,-37.9008,145.0859,Southern Metropolitan,3145.0,Carport,420000.0
Ivanhoe,6/14 Athelstane Gr,2,u,S,Miles,12/11/2016,7.9,3079.0,2.0,1.0,1.0,721.0,78,1960.0,Banyule City Council,-37.7634,145.0406,Eastern Metropolitan,5549.0,Parkade,587000.0
Keilor East,117 Brees Rd,3,h,S,Nelson,12/11/2016,12.8,3033.0,3.0,3.0,2.0,605.0,212,1980.0,Brimbank City Council,-37.7459,144.8788,Western Metropolitan,5629.0,Attached Garage,976000.0
Keilor East,61 Rachelle Rd,4,h,S,Barry,12/11/2016,12.8,3033.0,4.0,2.0,2.0,613.0,250,2011.0,Brimbank City Council,-37.7453,144.8721,Western Metropolitan,5629.0,Carport,1420000.0
Kew,1/204 Brougham St,3,t,S,LITTLE,12/11/2016,5.6,3101.0,3.0,2.0,2.0,848.0,97,1970.0,Boroondara City Council,-37.796,145.0324,Southern Metropolitan,10331.0,Underground,800000.0
Kew,23 Grange Rd,5,h,S,Caine,12/11/2016,5.6,3101.0,5.0,4.0,4.0,957.0,400,1930.0,Boroondara City Council,-37.8112,145.057,Southern Metropolitan,10331.0,Detached Garage,4850000.0
Maidstone,10 Thomson St,3,h,SP,Sweeney,12/11/2016,9.2,3012.0,3.0,1.0,2.0,300.0,125,1950.0,Maribyrnong City Council,-37.7896,144.8752,Western Metropolitan,3873.0,Carport,832000.0
Malvern East,69 Beaver St,4,h,S,Jellis,12/11/2016,11.2,3145.0,4.0,3.0,2.0,412.0,254,1930.0,Stonnington City Council,-37.8707,145.0482,Southern Metropolitan,8801.0,Parkade,2123000.0
Maribyrnong,12 Marin La,3,h,S,Nelson,12/11/2016,8.7,3032.0,3.0,2.0,2.0,222.0,200,2002.0,Maribyrnong City Council,-37.7697,144.878,Western Metropolitan,4918.0,Attached Garage,847000.0
Maribyrnong,104/5 Ordnance Res,2,u,SP,Biggin,12/11/2016,8.7,3032.0,2.0,1.0,2.0,3967.0,87,2007.0,Maribyrnong City Council,-37.7706,144.8805,Western Metropolitan,4918.0,Indoor,400000.0
Melbourne,2111/620 Collins St,2,u,SP,Greg,12/11/2016,2.8,3000.0,2.0,1.0,1.0,0.0,67,2002.0,Melbourne City Council,-37.8188,144.9544,Northern Metropolitan,17496.0,Carport,545000.0
Melbourne,2206/60 Market St,1,u,VB,Dingle,12/11/2016,2.8,3000.0,1.0,1.0,0.0,0.0,57,1960.0,Melbourne City Council,-37.8178,144.9607,Northern Metropolitan,17496.0,Detached Garage,450000.0
Moonee Ponds,35 Addison St,4,h,S,Nelson,12/11/2016,6.9,3039.0,4.0,1.0,3.0,539.0,190,1900.0,Moonee Valley City Council,-37.7701,144.9287,Western Metropolitan,6232.0,Carport,1637000.0
Moonee Ponds,30 Tennyson St,3,h,S,Jellis,12/11/2016,6.9,3039.0,3.0,2.0,2.0,249.0,168,2007.0,Moonee Valley City Council,-37.7609,144.9296,Western Metropolitan,6232.0,Attached Garage,1505000.0
Moonee Ponds,10/40 Young St,2,t,VB,Edward,12/11/2016,6.9,3039.0,2.0,1.0,1.0,1981.0,111,2006.0,Moonee Valley City Council,-37.7677,144.9221,Western Metropolitan,6232.0,Carport,515000.0
Newport,21 Croker St,3,h,S,Williams,12/11/2016,8.4,3015.0,3.0,1.0,1.0,390.0,84,1970.0,Hobsons Bay City Council,-37.847,144.8734,Western Metropolitan,5498.0,Attached Garage,810000.0
Niddrie,87 Hotham Rd,2,h,S,Barry,12/11/2016,11.2,3042.0,2.0,2.0,1.0,268.0,104,1950.0,Moonee Valley City Council,-37.7343,144.8783,Western Metropolitan,2291.0,Underground,657000.0
Niddrie,45 Vaynor St,3,h,S,Nelson,12/11/2016,11.2,3042.0,3.0,2.0,1.0,317.0,140,1950.0,Moonee Valley City Council,-37.7449,144.8869,Western Metropolitan,2291.0,Carport,710000.0
North Melbourne,23/43 Haines St,2,u,VB,W.B.,12/11/2016,2.3,3051.0,2.0,1.0,1.0,1588.0,71,1970.0,Melbourne City Council,-37.7988,144.9478,Northern Metropolitan,6821.0,Detached Garage,450000.0
Northcote,238 Victoria Rd,3,h,S,Nelson,12/11/2016,5.5,3070.0,3.0,1.0,1.0,445.0,125,1920.0,Darebin City Council,-37.7652,145.0123,Northern Metropolitan,11364.0,Attached Garage,1190000.0
Northcote,1/221 Westgarth St,3,t,S,Love,12/11/2016,5.5,3070.0,3.0,1.0,2.0,184.0,108,2006.0,Darebin City Council,-37.7825,145.0104,Northern Metropolitan,11364.0,Carport,865000.0
Oak Park,10 Grevillia Rd,5,h,PI,Nelson,12/11/2016,11.5,3046.0,5.0,2.0,4.0,783.0,223,1950.0,Moreland City Council,-37.7207,144.9263,Northern Metropolitan,2651.0,Detached Garage,1100000.0
Oakleigh South,8 Riley St,3,h,S,Ray,12/11/2016,14.7,3167.0,3.0,2.0,2.0,575.0,120,1960.0,Kingston City Council,-37.9215,145.0925,South-Eastern Metropolitan,3692.0,Carport,1000000.0
Pascoe Vale,22 Derby St,3,h,PI,Nelson,12/11/2016,9.9,3044.0,3.0,1.0,2.0,422.0,132,1950.0,Moreland City Council,-37.7337,144.9458,Northern Metropolitan,7485.0,Parkade,835000.0
Pascoe Vale,1/5 Farringdon St,3,t,S,Brad,12/11/2016,9.9,3044.0,3.0,3.0,1.0,291.0,175,2009.0,Moreland City Council,-37.7271,144.9261,Northern Metropolitan,7485.0,Underground,790000.0
Pascoe Vale,229 Sussex St,4,h,VB,Nelson,12/11/2016,9.9,3044.0,4.0,2.0,1.0,455.0,147,1950.0,Moreland City Council,-37.7207,144.9511,Northern Metropolitan,7485.0,Outdoor Stall,810000.0
Port Melbourne,8 Garton St,2,h,S,Scott,12/11/2016,3.8,3207.0,2.0,1.0,0.0,105.0,70,1910.0,Melbourne City Council,-37.8338,144.9474,Southern Metropolitan,8648.0,Indoor,1080000.0
Port Melbourne,205 Heath St,2,h,S,Chisholm,12/11/2016,3.8,3207.0,2.0,1.0,0.0,120.0,76,1900.0,Melbourne City Council,-37.8322,144.947,Southern Metropolitan,8648.0,Parkade,1115000.0
Port Melbourne,413/54 Nott St,2,u,SP,Cayzer,12/11/2016,3.8,3207.0,2.0,1.0,1.0,0.0,70,2004.0,Melbourne City Council,-37.8407,144.9389,Southern Metropolitan,8648.0,Underground,516000.0
Port Melbourne,75 Swallow St,3,h,S,Frank,12/11/2016,3.8,3207.0,3.0,2.0,1.0,225.0,153,1910.0,Melbourne City Council,-37.8381,144.9329,Southern Metropolitan,8648.0,Carport,1753000.0
Reservoir,2/33 Ashley St,2,t,PI,Barry,12/11/2016,11.2,3073.0,2.0,1.0,1.0,83.0,85,2010.0,Darebin City Council,-37.7171,145.0019,Northern Metropolitan,21650.0,Attached Garage,380000.0
Reservoir,3/18 Bedford St,1,u,SP,Harcourts,12/11/2016,11.2,3073.0,1.0,1.0,2.0,96.0,45,2009.0,Darebin City Council,-37.7175,145.0081,Northern Metropolitan,21650.0,Indoor,350000.0
Reservoir,8 Bedwell St,4,h,PI,Ray,12/11/2016,11.2,3073.0,4.0,2.0,4.0,820.0,197,1965.0,Darebin City Council,-37.6945,144.992,Northern Metropolitan,21650.0,Parkade,750000.0
Reservoir,3/41 Fordham Rd,2,t,S,Nelson,12/11/2016,11.2,3073.0,2.0,1.0,1.0,96.0,73,2013.0,Darebin City Council,-37.7139,145.0198,Northern Metropolitan,21650.0,Detached Garage,495000.0
Reservoir,1/65 Keon Pde,3,u,S,Ray,12/11/2016,11.2,3073.0,3.0,1.0,1.0,359.0,109,1960.0,Darebin City Council,-37.6957,145.0161,Northern Metropolitan,21650.0,Carport,500000.0
Reservoir,4/62 St Vigeons Rd,2,u,PI,Barry,12/11/2016,11.2,3073.0,2.0,1.0,1.0,102.0,67,1970.0,Darebin City Council,-37.7064,145.0264,Northern Metropolitan,21650.0,Indoor,350000.0
Richmond,25 Egan St,3,h,S,Marshall,12/11/2016,2.6,3121.0,3.0,1.0,0.0,245.0,140,1900.0,Yarra City Council,-37.8138,144.9921,Northern Metropolitan,14949.0,Outdoor Stall,1074000.0
Richmond,35A Hunter St,2,t,S,Jellis,12/11/2016,2.6,3121.0,2.0,2.0,2.0,153.0,125,2004.0,Yarra City Council,-37.8209,145.0055,Northern Metropolitan,14949.0,Detached Garage,1430000.0
Richmond,41 Shelley St,3,h,S,Biggin,12/11/2016,2.6,3121.0,3.0,2.0,2.0,233.0,170,1993.0,Yarra City Council,-37.8122,144.9937,Northern Metropolitan,14949.0,Carport,1465000.0
Seddon,61 Station Rd,3,h,S,Jas,12/11/2016,6.6,3011.0,3.0,1.0,0.0,371.0,134,1910.0,Maribyrnong City Council,-37.8066,144.8853,Western Metropolitan,2417.0,Indoor,990000.0
South Yarra,18 Avoca St,4,h,S,Castran,12/11/2016,3.3,3141.0,4.0,2.0,0.0,292.0,272,1880.0,Melbourne City Council,-37.8377,144.9894,Southern Metropolitan,14887.0,Detached Garage,5700000.0
South Yarra,18/33 Kensington Rd,1,u,SP,hockingstuart,12/11/2016,3.3,3141.0,1.0,1.0,1.0,0.0,44,1970.0,Melbourne City Council,-37.8375,145.0012,Southern Metropolitan,14887.0,Detached Garage,515000.0
South Yarra,76 Leopold St,3,h,PI,Marshall,12/11/2016,3.3,3141.0,3.0,2.0,1.0,215.0,200,1910.0,Melbourne City Council,-37.8361,144.9831,Southern Metropolitan,14887.0,Attached Garage,2695000.0
South Yarra,12/219 Williams Rd,1,u,PI,Buxton,12/11/2016,3.3,3141.0,1.0,1.0,1.0,0.0,40,1950.0,Melbourne City Council,-37.8444,145.0037,Southern Metropolitan,14887.0,Detached Garage,310000.0
Spotswood,59 Hope St,4,h,VB,RT,12/11/2016,7.7,3015.0,4.0,2.0,0.0,389.0,158,1990.0,Hobsons Bay City Council,-37.8284,144.8861,Western Metropolitan,1223.0,Outdoor Stall,850000.0
St Kilda,201/63 Acland St,1,u,SP,Buxton,12/11/2016,6.1,3182.0,1.0,1.0,1.0,1409.0,63,2000.0,Port Phillip City Council,-37.8661,144.9772,Southern Metropolitan,13240.0,Parking Pad,430000.0
St Kilda,25/52 Fitzroy St,1,u,S,hockingstuart,12/11/2016,6.1,3182.0,1.0,1.0,1.0,0.0,43,2002.0,Port Phillip City Council,-37.8599,144.9766,Southern Metropolitan,13240.0,Detached Garage,392000.0
St Kilda,12 Gurner St,4,h,PI,Wilson,12/11/2016,6.1,3182.0,4.0,2.0,2.0,507.0,202,1890.0,Port Phillip City Council,-37.8616,144.9807,Southern Metropolitan,13240.0,Attached Garage,1900000.0
Strathmore,355 Napier St,4,h,PI,Nelson,12/11/2016,9.7,3041.0,4.0,3.0,2.0,0.0,160,1970.0,Moonee Valley City Council,-37.7337,144.9184,Western Metropolitan,3284.0,Attached Garage,1300000.0
Sunshine North,8 Hassett St,3,h,SP,GL,12/11/2016,13.3,3020.0,3.0,1.0,0.0,598.0,112,1950.0,Brimbank City Council,-37.7705,144.8307,Western Metropolitan,4217.0,Attached Garage,650000.0
Sunshine North,18 Simpson St,4,h,S,Barry,12/11/2016,13.3,3020.0,4.0,1.0,2.0,615.0,133,1955.0,Brimbank City Council,-37.7675,144.8414,Western Metropolitan,4217.0,Underground,736000.0
Sunshine West,27 Davey St,3,h,S,Sweeney,12/11/2016,13.5,3020.0,3.0,1.0,1.0,695.0,102,1950.0,Brimbank City Council,-37.7853,144.8114,Western Metropolitan,6763.0,Carport,687000.0
Sunshine West,14 Myers St,3,h,S,hockingstuart,12/11/2016,13.5,3020.0,3.0,4.0,2.0,482.0,166,1955.0,Brimbank City Council,-37.7904,144.8133,Western Metropolitan,6763.0,Attached Garage,485000.0
Surrey Hills,39 Bentley St,3,h,S,Fletchers,12/11/2016,11.2,3127.0,3.0,2.0,2.0,808.0,159,1970.0,Boroondara City Council,-37.832,145.11,Southern Metropolitan,5457.0,Indoor,1755000.0
Surrey Hills,95 Guildford Rd,4,h,S,Marshall,12/11/2016,11.2,3127.0,4.0,1.0,1.0,579.0,143,1900.0,Boroondara City Council,-37.8224,145.0959,Southern Metropolitan,5457.0,Parkade,1700000.0
Templestowe Lower,16 Clauscen St,4,h,PI,Jellis,12/11/2016,13.8,3107.0,4.0,2.0,2.0,681.0,158,1970.0,Manningham City Council,-37.7646,145.1167,Eastern Metropolitan,5420.0,Detached Garage,1280000.0
Templestowe Lower,39 Hazel Dr,5,h,PI,hockingstuart,12/11/2016,13.8,3107.0,5.0,3.0,4.0,800.0,335,2006.0,Manningham City Council,-37.7696,145.1078,Eastern Metropolitan,5420.0,Attached Garage,750000.0
Thornbury,51 Alston St,3,h,S,Love,12/11/2016,6.5,3071.0,3.0,2.0,2.0,540.0,129,1935.0,Darebin City Council,-37.7554,145.0211,Northern Metropolitan,8870.0,Indoor,887000.0
Watsonia,56 Frensham Rd,3,h,S,Barry,12/11/2016,14.9,3087.0,3.0,2.0,2.0,280.0,163,2002.0,Banyule City Council,-37.7153,145.0854,Northern Metropolitan,2329.0,Outdoor Stall,671000.0
Williamstown,112 Crofton Dr,4,h,S,Williams,12/11/2016,8.0,3016.0,4.0,3.0,2.0,217.0,266,2003.0,Hobsons Bay City Council,-37.8634,144.8796,Western Metropolitan,6380.0,Indoor,1330000.0
Yarraville,113 Anderson St,3,t,S,Sweeney,12/11/2016,7.0,3013.0,2.0,2.0,0.0,352.0,152,2016.0,Maribyrnong City Council,-37.8164,144.8869,Western Metropolitan,6543.0,Detached Garage,1040000.0
Carlton,8/220 Elgin St,2,u,S,Harrington,12/11/2016,1.8,3053.0,2.0,1.0,1.0,0.0,70,2000.0,Melbourne City Council,-37.7969,144.9669,Northern Metropolitan,6786.0,Attached Garage,705000.0
Essendon West,461 Buckley St,3,h,S,Nelson,12/11/2016,9.8,3040.0,3.0,1.0,1.0,556.0,105,1940.0,Moonee Valley City Council,-37.7537,144.8856,Western Metropolitan,588.0,Carport,787500.0
Hawthorn East,16 Leura Gr,4,h,S,Jellis,12/11/2016,7.5,3123.0,4.0,1.0,2.0,764.0,171,1940.0,Boroondara City Council,-37.8374,145.0486,Southern Metropolitan,6482.0,Outdoor Stall,2800000.0
Heidelberg,13 Hodgson St,3,h,S,Nelson,12/11/2016,10.6,3084.0,3.0,1.0,2.0,600.0,190,1950.0,Banyule City Council,-37.752,145.0722,Eastern Metropolitan,2890.0,Attached Garage,1110000.0
Heidelberg,3/43 Rosanna Rd,2,u,PI,William,12/11/2016,10.6,3084.0,2.0,1.0,2.0,153.0,97,1972.0,Banyule City Council,-37.7538,145.0695,Eastern Metropolitan,2890.0,Indoor,540000.0
Ivanhoe East,31 Keam St,4,h,S,Miles,12/11/2016,9.0,3079.0,4.0,2.0,2.0,1004.0,247,1935.0,Banyule City Council,-37.7689,145.0665,Eastern Metropolitan,1554.0,Parkade,2200000.0
Kingsbury,101 The Fairway,4,h,S,Ray,12/11/2016,12.4,3083.0,4.0,1.0,1.0,465.0,120,1970.0,Darebin City Council,-37.7126,145.03,Northern Metropolitan,1414.0,Underground,610000.0
Kingsville,52a Williamstown Rd,2,h,S,Village,12/11/2016,7.8,3012.0,2.0,2.0,0.0,84.0,130,1900.0,Maribyrnong City Council,-37.8058,144.8846,Western Metropolitan,1808.0,Outdoor Stall,730000.0
Murrumbeena,22/41 Murrumbeena Rd,2,u,SP,Fletchers,12/11/2016,12.1,3163.0,2.0,2.0,2.0,5289.0,72,2013.0,Glen Eira City Council,-37.8882,145.0666,Southern Metropolitan,4442.0,Detached Garage,605000.0
Ormond,2/43 Ulupna Rd,2,h,S,hockingstuart,12/11/2016,11.8,3204.0,2.0,1.0,1.0,210.0,90,1996.0,Glen Eira City Council,-37.9001,145.0428,Southern Metropolitan,3578.0,Underground,810000.0
Ormond,16 Wallen Rd,3,h,S,hockingstuart,12/11/2016,11.8,3204.0,3.0,1.0,1.0,551.0,156,1940.0,Glen Eira City Council,-37.9036,145.0521,Southern Metropolitan,3578.0,Carport,1322000.0
West Footscray,11 Elphinstone St,3,h,S,Sweeney,12/11/2016,8.2,3012.0,3.0,1.0,3.0,440.0,131,1950.0,Maribyrnong City Council,-37.7937,144.8732,Western Metropolitan,5058.0,Attached Garage,820000.0
Keilor Park,2/90 Victory St,3,u,S,Barry,12/11/2016,14.5,3042.0,3.0,1.0,1.0,255.0,132,1991.0,Brimbank City Council,-37.7243,144.8533,Western Metropolitan,1119.0,Carport,501000.0
